Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,05/04/2020,4,78
Worcestershire,E10000034,Upper tier local authority,05/04/2020,24,462
Wolverhampton,E08000031,Upper tier local authority,05/04/2020,10,337
Wokingham,E06000041,Upper tier local authority,05/04/2020,8,127
Wirral,E08000015,Upper tier local authority,05/04/2020,43,338
Windsor and Maidenhead,E06000040,Upper tier local authority,05/04/2020,4,120
Wiltshire,E06000054,Upper tier local authority,05/04/2020,18,180
Wigan,E08000010,Upper tier local authority,05/04/2020,15,213
Westminster,E09000033,Upper tier local authority,05/04/2020,17,420
West Sussex,E10000032,Upper tier local authority,05/04/2020,27,426
West Berkshire,E06000037,Upper tier local authority,05/04/2020,6,120
Warwickshire,E10000031,Upper tier local authority,05/04/2020,24,486
Warrington,E06000007,Upper tier local authority,05/04/2020,23,184
Wandsworth,E09000032,Upper tier local authority,05/04/2020,17,601
Waltham Forest,E09000031,Upper tier local authority,05/04/2020,26,421
Walsall,E08000030,Upper tier local authority,05/04/2020,17,427
Wakefield,E08000036,Upper tier local authority,05/04/2020,21,210
Trafford,E08000009,Upper tier local authority,05/04/2020,19,262
Tower Hamlets,E09000030,Upper tier local authority,05/04/2020,19,384
Torbay,E06000027,Upper tier local authority,05/04/2020,3,61
Thurrock,E06000034,Upper tier local authority,05/04/2020,9,142
Telford and Wrekin,E06000020,Upper tier local authority,05/04/2020,9,101
Tameside,E08000008,Upper tier local authority,05/04/2020,14,191
Swindon,E06000030,Upper tier local authority,05/04/2020,10,95
Sutton,E09000029,Upper tier local authority,05/04/2020,10,313
Surrey,E10000030,Upper tier local authority,05/04/2020,66,1119
Sunderland,E08000024,Upper tier local authority,05/04/2020,49,386
Suffolk,E10000029,Upper tier local authority,05/04/2020,31,320
Stoke-on-Trent,E06000021,Upper tier local authority,05/04/2020,7,121
Stockton-on-Tees,E06000004,Upper tier local authority,05/04/2020,12,137
Stockport,E08000007,Upper tier local authority,05/04/2020,26,304
Staffordshire,E10000028,Upper tier local authority,05/04/2020,32,652
St. Helens,E08000013,Upper tier local authority,05/04/2020,20,271
Southwark,E09000028,Upper tier local authority,05/04/2020,25,750
Southend-on-Sea,E06000033,Upper tier local authority,05/04/2020,9,159
Southampton,E06000045,Upper tier local authority,05/04/2020,12,190
South Tyneside,E08000023,Upper tier local authority,05/04/2020,15,126
South Gloucestershire,E06000025,Upper tier local authority,05/04/2020,10,146
Somerset,E10000027,Upper tier local authority,05/04/2020,9,135
Solihull,E08000029,Upper tier local authority,05/04/2020,10,261
Slough,E06000039,Upper tier local authority,05/04/2020,5,172
Shropshire,E06000051,Upper tier local authority,05/04/2020,7,180
Sheffield,E08000019,Upper tier local authority,05/04/2020,66,1033
